,NIC_PT,NAME,NUI_PT,time,state,county,SAEPOVRTALL_PT,SAEPOVALL_PT
396,12917,"Berrien County, GA",2663,2016,13,019,22.3,4179
397,106223,"Bibb County, GA",17332,2016,13,021,26.3,38547
398,8131,"Bleckley County, GA",1297,2016,13,023,21.7,2514
399,12699,"Brantley County, GA",2724,2016,13,025,20.8,3795
400,9940,"Brooks County, GA",2470,2016,13,027,24.9,3854
401,28396,"Bryan County, GA",4021,2016,13,029,9.6,3456
402,50791,"Bulloch County, GA",10427,2016,13,031,24,16650
403,16436,"Burke County, GA",2541,2016,13,033,26.7,5986
404,15135,"Butts County, GA",2516,2016,13,035,17,3586
405,3106,"Calhoun County, GA",721,2016,13,037,33,1541
406,38128,"Camden County, GA",6004,2016,13,039,15,7573
407,6975,"Candler County, GA",1802,2016,13,043,25,2647
408,82089,"Carroll County, GA",15113,2016,13,045,14.9,16713
409,48120,"Catoosa County, GA",7068,2016,13,047,12.9,8505
410,7098,"Charlton County, GA",1203,2016,13,049,27.2,2725
411,200422,"Chatham County, GA",34422,2016,13,051,16.6,45636
412,6266,"Chattahoochee County, GA",834,2016,13,053,21.5,1639
413,16029,"Chattooga County, GA",3337,2016,13,055,20.1,4716
414,180479,"Cherokee County, GA",29188,2016,13,057,7.5,17948
415,85733,"Clarke County, GA",15722,2016,13,059,27.9,31950
416,1822,"Clay County, GA",368,2016,13,061,35.2,1040
417,204516,"Clayton County, GA",42566,2016,13,063,20.8,57057
418,4752,"Clinch County, GA",907,2016,13,065,26,1752
419,563898,"Cobb County, GA",90699,2016,13,067,10,73446
420,27820,"Coffee County, GA",6281,2016,13,069,23,9153
421,29357,"Colquitt County, GA",8649,2016,13,071,25,11252
422,117272,"Columbia County, GA",12237,2016,13,073,7.2,10512
423,11746,"Cook County, GA",2599,2016,13,075,25.1,4268
424,107897,"Coweta County, GA",14075,2016,13,077,9.9,13867
425,8359,"Crawford County, GA",1626,2016,13,079,19.3,2355
426,15467,"Crisp County, GA",2809,2016,13,081,30.3,6751
